iter	RMSE
0	875658.6077
1	861957.9076
2	848080.0838
3	835146.071
4	821758.3782
5	809752.6661
6	797286.3269
7	785151.8361
8	773296.3022
9	761958.3381
10	750944.6736
11	740800.301
12	730552.7598
13	720349.6642
14	710905.4191
15	700979.5799
16	691725.0083
17	682446.9143
18	673499.0636
19	664725.2958
20	656489.8537
21	648031.6367
22	640537.3788
23	632714.0866
24	625441.7055
25	618386.5963
26	611349.8258
27	604737.8648
28	598186.5543
29	591695.1982
30	585427.2081
31	579564.138
32	573830.0982
33	567865.6347
34	562276.1397
35	557340.116
36	552251.2185
37	547060.6986
38	541706.9346
39	536948.745
40	532444.2543
41	528106.7155
42	523701.226
43	519184.8067
44	514844.137
45	511152.9336
46	507347.2686
47	503531.5794
48	500073.9151
49	496400.1342
50	493012.9488
51	489737.5059
52	486601.6834
53	483565.8951
54	480272.5699
55	477522.1042
56	474336.5046
57	471668.4831
58	469195.628
59	466415.4944
60	463936.7253
61	461599.9279
62	459067.9757
63	456797.5701
64	454504.9143
65	452351.3378
66	450114.3851
67	448071.9922
68	446028.8502
69	444077.7478
70	442191.6178
71	440359.0162
72	438336.1078
73	436329.1374
74	434612.3966
75	433046.9391
76	431475.6834
77	429889.2843
78	428351.7497
79	426937.3249
80	425328.7151
81	423941.9086
82	422747.6158
83	421535.2997
84	420248.381
85	418953.2937
86	417641.3951
87	416353.5111
88	415157.8986
89	413998.2044
90	413085.2668
91	411932.6645
92	410828.8489
93	409586.1531
94	408556.8374
95	407532.0015
96	406436.374
97	405344.9133
98	404243.5399
99	403267.2263
100	402237.1006
101	401391.7124
102	400416.4844
103	399556.405
104	398730.6083
105	397798.0154
106	397112.654
107	396272.7414
108	394744.5102
109	394093.8136
110	393482.2726
111	392947.3649
112	392200.3589
113	391035.7744
114	390265.7779
115	389721.1581
116	388947.7923
117	388235.7818
118	387764.0124
119	387097.1526
120	386407.5887
121	385746.876
122	385133.1192
123	384561.2152
124	384149.4848
125	383591.1374
126	382956.4427
127	382343.973
128	381666.2627
129	381088.0186
130	380670.4982
131	380141.2003
132	379580.5746
133	379023.9888
134	378464.8719
135	377926.2928
136	377421.5641
137	376982.1355
138	376602.9325
139	376283.1537
140	375721.9331
141	375138.84
142	374726.4452
143	374455.0409
144	373974.7779
145	373423.577
146	373109.2626
147	372483.1464
148	371955.998
149	371499.3689
150	370860.4782
151	370439.4987
152	369784.2209
153	369321.2119
154	368882.2302
155	368405.4248
156	367954.0599
157	367463.4571
158	367027.2499
159	366615.4614
160	366373.0922
161	366066.8332
162	365609.126
163	365215.9609
164	364850.4601
165	364438.7969
166	364012.8609
167	363543.15
