iter	Passed	Remaining
0	2	3707
1	4	3281
2	6	3220
3	8	3311
4	10	3395
5	13	3462
6	14	3409
7	17	3383
8	18	3341
9	20	3299
10	22	3275
11	24	3276
12	26	3292
13	29	3297
14	31	3299
15	33	3321
16	35	3320
17	38	3363
18	40	3348
19	42	3331
20	44	3355
21	46	3326
22	48	3334
23	50	3330
24	53	3364
25	55	3350
26	57	3341
27	59	3341
28	61	3346
29	63	3343
30	66	3340
31	68	3343
32	70	3343
33	72	3334
34	74	3346
35	76	3344
36	79	3345
37	80	3328
38	83	3327
39	85	3333
40	87	3331
41	89	3332
42	91	3325
43	93	3317
44	95	3308
45	97	3306
46	100	3313
47	102	3315
48	104	3306
49	106	3314
50	109	3310
51	111	3311
52	113	3309
53	115	3298
54	117	3301
55	119	3306
56	121	3299
57	123	3291
58	125	3287
59	127	3283
60	129	3279
61	132	3282
62	134	3282
63	136	3276
64	138	3279
65	140	3275
66	142	3267
67	144	3265
68	147	3266
69	149	3269
70	151	3272
71	154	3268
72	156	3263
73	158	3262
74	160	3263
75	162	3257
76	164	3254
77	166	3249
78	168	3248
79	170	3246
80	173	3245
81	175	3246
82	177	3249
83	179	3245
84	181	3241
85	184	3241
86	186	3244
87	188	3243
88	190	3241
89	193	3240
90	195	3235
91	197	3234
92	199	3232
93	201	3226
94	203	3227
95	205	3217
96	207	3212
97	209	3207
98	211	3202
99	213	3198
100	215	3196
101	217	3189
102	219	3186
103	221	3184
104	223	3181
105	225	3177
106	227	3177
107	229	3175
108	231	3170
109	233	3168
110	235	3162
111	237	3158
112	239	3154
113	242	3154
114	244	3151
115	246	3150
116	248	3150
117	250	3149
118	252	3145
119	254	3143
120	256	3141
121	259	3138
122	261	3136
123	262	3129
124	264	3126
125	267	3125
126	269	3124
127	271	3121
128	273	3121
129	276	3121
130	278	3118
131	280	3116
132	282	3111
133	283	3106
134	285	3103
135	288	3101
136	290	3099
137	292	3096
138	294	3092
139	296	3090
140	298	3089
141	300	3088
142	302	3086
143	304	3083
144	307	3082
145	309	3077
146	310	3073
147	312	3068
148	314	3062
149	316	3061
150	318	3058
151	321	3058
152	322	3052
153	324	3050
154	327	3049
155	329	3046
156	331	3044
157	333	3041
158	335	3036
159	337	3033
160	339	3030
161	340	3026
162	342	3022
163	345	3021
164	346	3017
165	349	3016
166	351	3015
167	353	3012
168	355	3007
169	357	3005
170	359	3004
171	361	2999
172	363	2995
173	365	2993
174	367	2990
175	369	2986
176	370	2981
177	372	2979
178	374	2975
179	376	2970
180	378	2968
181	380	2965
182	382	2962
183	385	2963
184	387	2960
185	389	2958
186	391	2954
187	392	2950
188	394	2946
189	396	2944
190	398	2940
191	400	2938
192	402	2934
193	404	2929
194	406	2925
195	407	2921
196	409	2916
197	411	2913
198	413	2910
199	415	2909
200	417	2904
201	419	2900
202	420	2895
203	423	2894
204	425	2892
205	426	2889
206	429	2887
207	431	2886
208	433	2883
209	435	2881
210	437	2878
211	439	2876
212	440	2871
213	442	2868
214	445	2867
215	447	2864
216	449	2863
217	451	2859
218	452	2856
219	454	2853
220	456	2850
221	459	2849
222	460	2845
223	462	2843
224	465	2843
225	467	2839
226	468	2834
227	470	2831
228	472	2830
229	474	2826
230	476	2825
231	478	2823
232	481	2822
233	483	2820
234	485	2819
235	487	2816
236	489	2813
237	491	2810
238	493	2808
239	495	2806
240	497	2803
241	499	2801
242	501	2798
243	503	2795
244	505	2793
245	506	2790
246	508	2788
247	510	2784
248	512	2781
249	514	2777
250	516	2775
251	518	2775
252	520	2773
253	523	2771
254	525	2769
255	527	2767
256	529	2765
257	531	2764
258	533	2761
259	534	2756
260	536	2752
261	538	2749
262	540	2746
263	542	2743
264	544	2741
265	545	2738
266	547	2735
267	549	2732
268	551	2730
269	553	2726
270	555	2725
271	557	2723
272	559	2721
273	561	2718
274	563	2716
275	565	2714
276	567	2710
277	569	2709
278	571	2706
279	573	2703
280	575	2699
281	577	2696
282	579	2696
283	581	2694
284	583	2691
285	585	2688
286	587	2687
287	589	2684
288	591	2682
289	593	2680
290	595	2678
291	597	2676
292	599	2674
293	601	2673
294	603	2670
295	605	2668
296	607	2666
297	609	2663
298	611	2660
299	613	2658
300	615	2656
301	617	2654
302	619	2652
303	621	2650
304	623	2648
305	625	2646
306	627	2644
307	629	2642
308	632	2640
309	634	2639
310	636	2637
311	637	2633
312	639	2630
313	641	2627
314	643	2626
315	645	2623
316	647	2621
317	649	2618
318	651	2617
319	653	2615
320	655	2613
321	657	2610
322	660	2610
323	662	2608
324	664	2607
325	666	2605
326	668	2602
327	670	2600
328	672	2598
329	674	2596
330	676	2594
331	678	2592
332	680	2590
333	682	2588
334	684	2586
335	686	2584
336	689	2582
